,precision,recall,f1-score,support
самолёт,0.4857142857142857,0.6938775510204082,0.5714285714285714,196.0
автомобиль,0.5501618122977346,0.8585858585858586,0.6706114398422091,198.0
птица,0.5350877192982456,0.3128205128205128,0.3948220064724919,195.0
кошка,0.5217391304347826,0.18090452261306533,0.26865671641791045,199.0
олень,0.5416666666666666,0.3939393939393939,0.45614035087719296,198.0
собака,0.6621621621621622,0.2648648648648649,0.3783783783783784,185.0
лягушка,0.9166666666666666,0.35648148148148145,0.5133333333333333,216.0
лошадь,0.47278911564625853,0.7202072538860104,0.5708418891170431,193.0
корабль,0.7431693989071039,0.6267281105990783,0.68,217.0
грузовик,0.38084632516703787,0.8423645320197044,0.5245398773006135,203.0
accuracy,0.5265,0.5265,0.5265,0.5265
macro avg,0.5810003282960945,0.5250774081830378,0.5028752563167743,2000.0
weighted avg,0.5849390469730545,0.5265,0.5053219560416777,2000.0
