,precision,recall,f1-score,support
самолёт,0.3233082706766917,0.4387755102040816,0.3722943722943723,196.0
автомобиль,0.5469613259668509,0.5,0.5224274406332454,198.0
птица,0.23684210526315788,0.23076923076923078,0.23376623376623376,195.0
кошка,0.20930232558139536,0.135678391959799,0.16463414634146342,199.0
олень,0.272108843537415,0.20202020202020202,0.2318840579710145,198.0
собака,0.25,0.4810810810810811,0.3290203327171904,185.0
лягушка,0.5512820512820513,0.19907407407407407,0.2925170068027211,216.0
лошадь,0.2556818181818182,0.6994818652849741,0.37447988904299584,193.0
корабль,0.543859649122807,0.14285714285714285,0.22627737226277372,217.0
грузовик,0.7058823529411765,0.23645320197044334,0.35424354243542433,203.0
accuracy,0.3215,0.3215,0.3215,0.3215
macro avg,0.3895228742553364,0.3266190700221029,0.3101544394267434,2000.0
weighted avg,0.39468243171210576,0.3215,0.3090053334512432,2000.0
