               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0882,             0.03873,             0.01935,             0.16035,             0.17722,             0.10704,            0.043351,            0.079997,            0.023548,            0.012369,            0.070291,            0.003301,            0.003301
                   1,            0.063925,            0.035405,           0.0086924,             0.38166,             0.21519,             0.16167,            0.075835,            0.071866,            0.022181,             0.01609,             0.04016,           0.0065029,           0.0065029
                   2,             0.05876,            0.033515,           0.0074752,              0.2944,             0.29114,             0.20679,             0.07757,            0.071808,             0.02015,             0.01618,           0.0098965,           0.0095729,           0.0095729
                   3,            0.053754,            0.032514,           0.0053838,             0.42078,             0.36709,             0.34763,             0.15739,            0.063812,            0.021702,           0.0088203,            0.009406,            0.009406,            0.009406
                   4,            0.049214,            0.032026,            0.005351,             0.45539,             0.39241,             0.37534,             0.16195,            0.065388,            0.020585,           0.0078871,            0.009406,            0.009406,            0.009406
                   5,            0.047777,            0.033424,           0.0045743,             0.65379,             0.35863,              0.4002,             0.18226,            0.066299,            0.020852,            0.004977,            0.009208,            0.009208,            0.009208
                   6,             0.04651,            0.031291,           0.0043333,             0.61825,             0.34177,             0.38177,              0.1841,            0.067462,            0.021294,           0.0067875,             0.00901,             0.00901,             0.00901
                   7,             0.04536,            0.031515,            0.004645,             0.50437,             0.37975,             0.38556,             0.17294,            0.067342,            0.021139,           0.0051995,            0.008812,            0.008812,            0.008812
                   8,            0.043866,            0.031296,           0.0037133,             0.65889,             0.35443,             0.42747,             0.19582,            0.061519,             0.02174,           0.0028114,            0.008614,            0.008614,            0.008614
                   9,            0.042959,            0.029924,           0.0035368,             0.53168,             0.37975,             0.41023,             0.19669,            0.064508,            0.021156,           0.0076912,            0.008416,            0.008416,            0.008416
                  10,            0.041814,            0.030037,           0.0037058,              0.5688,             0.39241,             0.42365,              0.1839,            0.059976,            0.021766,           0.0042079,            0.008218,            0.008218,            0.008218
                  11,            0.041086,            0.030198,           0.0033386,             0.61991,             0.39241,             0.42802,             0.18335,            0.063907,            0.022107,           0.0016636,             0.00802,             0.00802,             0.00802
                  12,            0.040714,            0.029765,           0.0032218,             0.63312,             0.29114,             0.38576,             0.19676,            0.065842,             0.02219,           0.0089864,            0.007822,            0.007822,            0.007822
                  13,            0.040184,            0.029783,            0.002661,             0.68999,             0.31646,             0.42263,             0.19189,            0.067394,            0.020823,           0.0038878,            0.007624,            0.007624,            0.007624
                  14,            0.039623,            0.029112,           0.0027664,             0.65843,             0.37975,              0.4624,             0.21426,             0.06215,            0.021294,           0.0043123,            0.007426,            0.007426,            0.007426
                  15,            0.038891,            0.029048,            0.002889,             0.55812,             0.39975,             0.45278,             0.19822,            0.062597,            0.022086,           0.0042138,            0.007228,            0.007228,            0.007228
                  16,            0.039084,             0.02859,           0.0027574,             0.60679,             0.37975,             0.42147,             0.20199,            0.063074,            0.022416,           0.0034995,             0.00703,             0.00703,             0.00703
                  17,            0.038774,            0.029135,            0.002763,             0.72452,             0.40506,             0.49164,              0.2244,            0.061195,            0.021794,           0.0063228,            0.006832,            0.006832,            0.006832
                  18,            0.038291,            0.028766,           0.0026648,             0.76455,             0.32911,             0.41068,             0.18785,            0.059966,            0.023116,           0.0077269,            0.006634,            0.006634,            0.006634
                  19,             0.03734,            0.028405,           0.0034544,             0.66603,             0.36709,             0.44696,             0.21654,            0.063598,            0.021237,           0.0065907,            0.006436,            0.006436,            0.006436
                  20,            0.037673,            0.028998,           0.0026707,              0.6606,              0.4557,             0.49052,             0.22684,            0.058112,            0.021286,           0.0034932,            0.006238,            0.006238,            0.006238
                  21,            0.037014,            0.027898,           0.0022283,             0.59252,             0.40506,             0.45901,             0.19837,            0.064885,            0.020967,           0.0045773,             0.00604,             0.00604,             0.00604
                  22,            0.036677,             0.02818,           0.0025463,             0.61167,              0.4557,             0.46832,             0.22474,            0.062035,            0.022592,           0.0042827,            0.005842,            0.005842,            0.005842
                  23,            0.036163,            0.027486,           0.0021099,             0.71336,             0.34177,             0.45565,             0.20894,            0.060145,             0.02342,           0.0049734,            0.005644,            0.005644,            0.005644
                  24,            0.036386,            0.028102,           0.0021406,             0.69641,             0.41772,             0.50378,             0.22933,            0.057902,            0.021923,           0.0019835,            0.005446,            0.005446,            0.005446
                  25,             0.03636,             0.02757,           0.0024107,             0.66028,             0.41772,             0.47505,             0.22897,            0.062536,            0.021769,           0.0059913,            0.005248,            0.005248,            0.005248
                  26,            0.035483,            0.026835,            0.002365,             0.74753,             0.41234,             0.48924,             0.22423,            0.064121,            0.022513,           0.0043201,             0.00505,             0.00505,             0.00505
                  27,            0.035148,            0.027623,           0.0021294,             0.75128,             0.37975,              0.4736,             0.23599,            0.060787,            0.022107,           0.0036377,            0.004852,            0.004852,            0.004852
                  28,            0.035283,            0.026785,           0.0022932,             0.82595,             0.36049,             0.45944,             0.22436,            0.060235,            0.022136,           0.0022738,            0.004654,            0.004654,            0.004654
                  29,            0.034279,            0.027205,            0.002157,             0.72834,             0.40506,               0.486,             0.23662,            0.060067,            0.022625,           0.0019584,            0.004456,            0.004456,            0.004456
                  30,            0.034717,            0.026825,           0.0020013,              0.7482,             0.37975,             0.45398,             0.22968,            0.061259,            0.022034,           0.0017048,            0.004258,            0.004258,            0.004258
                  31,            0.034351,             0.02651,           0.0021548,             0.70373,             0.39241,             0.45477,             0.22373,             0.06107,            0.021723,           0.0041957,             0.00406,             0.00406,             0.00406
                  32,            0.033912,            0.026838,           0.0021649,             0.70423,             0.39241,               0.478,             0.22709,            0.058207,             0.02168,           0.0014274,            0.003862,            0.003862,            0.003862
                  33,            0.033106,            0.026246,           0.0017176,             0.70101,             0.41772,              0.4716,             0.22165,            0.062208,            0.021325,           0.0012633,            0.003664,            0.003664,            0.003664
                  34,            0.032783,            0.026753,           0.0020058,             0.70297,             0.39241,             0.47141,             0.23228,            0.061861,            0.021623,           0.0014755,            0.003466,            0.003466,            0.003466
                  35,            0.033562,             0.02632,           0.0019656,             0.76177,             0.37975,             0.47907,             0.22929,            0.059272,              0.0225,           0.0014958,            0.003268,            0.003268,            0.003268
                  36,            0.033955,            0.025642,           0.0018535,              0.6244,             0.39988,             0.45719,             0.23862,            0.061063,            0.022197,           0.0022703,             0.00307,             0.00307,             0.00307
                  37,            0.034219,            0.026158,           0.0019052,             0.65517,             0.34177,              0.4345,             0.22167,            0.064372,             0.02212,           0.0037301,            0.002872,            0.002872,            0.002872
                  38,            0.033235,            0.025532,           0.0016898,             0.70719,             0.35443,             0.42492,             0.20987,            0.066963,            0.021934,           0.0028138,            0.002674,            0.002674,            0.002674
                  39,            0.032322,            0.025114,           0.0017215,             0.83385,             0.34177,              0.4373,             0.22295,            0.067096,            0.022127,           0.0030517,            0.002476,            0.002476,            0.002476
                  40,            0.032413,            0.025706,           0.0014298,              0.7328,             0.36709,             0.45074,              0.2333,            0.063325,            0.022621,           0.0033772,            0.002278,            0.002278,            0.002278
                  41,            0.033113,            0.025519,           0.0014911,             0.74726,             0.35443,             0.46167,             0.24308,            0.060366,            0.022765,           0.0020815,             0.00208,             0.00208,             0.00208
                  42,            0.032148,             0.02555,           0.0014689,             0.78566,             0.37125,             0.47482,             0.23143,            0.060708,            0.022551,           0.0037221,            0.001882,            0.001882,            0.001882
                  43,             0.03178,            0.025101,            0.001501,             0.78548,             0.39241,             0.48608,             0.24027,            0.062172,            0.021382,           0.0028068,            0.001684,            0.001684,            0.001684
                  44,            0.031713,            0.025321,           0.0013602,             0.73337,             0.37975,             0.46421,              0.2321,            0.061736,            0.022253,             0.00413,            0.001486,            0.001486,            0.001486
                  45,            0.031534,            0.025882,           0.0015949,             0.74321,             0.39241,             0.47564,             0.22873,            0.059759,            0.022321,            0.002783,            0.001288,            0.001288,            0.001288
                  46,            0.031319,             0.02525,           0.0017333,              0.7908,             0.38286,             0.47489,             0.24043,            0.060439,            0.022149,           0.0029419,             0.00109,             0.00109,             0.00109
                  47,            0.030839,            0.025431,           0.0014792,             0.78514,             0.37975,             0.46713,             0.24707,            0.061695,             0.02221,           0.0038639,            0.000892,            0.000892,            0.000892
                  48,            0.030484,            0.025056,           0.0016541,             0.78804,             0.39241,             0.47578,             0.24758,            0.061797,            0.021943,           0.0043442,            0.000694,            0.000694,            0.000694
                  49,            0.031362,            0.025429,           0.0016877,             0.80988,              0.3775,             0.46479,             0.24536,            0.063686,            0.021979,           0.0038635,            0.000496,            0.000496,            0.000496
